podcast,name,guest,category,filterOut,duration,spotifyUrl,image64,image300,description,language,date
Ozé. Comprendre. S'inspirer. S'engager,Tout comprendre sur l'énergie avec Maxence Cordiez #REDIFF,,,1,1h 2min,https://open.spotify.com/episode/0q8Kq4f1YNnKwAP9CioKCk,https://i.scdn.co/image/ab6765630000f68d1ec21a3ded1c476dd44fe49e,https://i.scdn.co/image/ab67656300005f1f1ec21a3ded1c476dd44fe49e,"""La France est en retard sur ses objectifs de transition énergétique"" mettait en garde l'Agence Internationale de l'Énergie (AIE) en Octobre 2021. Mais de quoi parle-t-on au juste ? Dans cet épisode, je reçois Maxence Cordiez, co-auteur du livre Énergies chez Tana Éditions pour en discuter.  Au sommaire de notre entretien :    C'est quoi l'énergie ? À quoi ça sert ?  D'où vient l'énergie que l'on utilise ?  Qui produit et consomme ces énergies fossiles ?   Quelles places pour la France et l'Europe en tant que producteur et consommateur ?  Pourquoi les énergies fossiles posent problèmes ?  La transition énergétique dans l'histoire  L'électricité : une solution pour décarboner ?  Marché du carbone, neutralité et greenwashing : comment faire le tri ?   C'est quoi une consommation d'énergie soutenable pour la France ? Avec quel mix énergétique ?  Pour allez plus loin sur les questions d'énergie et de ressources : - Louis DELANNOY - Ressources fossiles : pénuries en vue ?  - Baptiste ANDRIEU - Matières Premières et Technologies - Simon CHAZEL - Modéliser l'économie à partir des lois de la physique 👉 S'abonner à la Newsletter Ozé 👉 Me suivre sur LinkedIn 👉 Voir le replay des conférences Ozé 👉 M'écrire : jp@oze-podcast.fr Music Credit : Sublime by Grapes - 2013 - Licensed under CC BY-NC 3.0. Ozé Le Podcast by  Jean-Philippe Decka is licensed under CC BY-NC-SA 4.0.",fr,2023-08-03
Ozé. Comprendre. S'inspirer. S'engager,Le plastique c'est tout SAUF fantastique avec Dorothée Moisan #REDIFF,,,1,1h 21min,https://open.spotify.com/episode/4fqxWEt1xpo3nOg5XCMROl,https://i.scdn.co/image/ab6765630000f68ded532be7463a984a3b0e6686,https://i.scdn.co/image/ab67656300005f1fed532be7463a984a3b0e6686,"Dorothée Moisan est journaliste et autrice du livre Les plastiqueurs dans lequel elle nous livre les conclusions de son enquête sur le monde du plastique. Dans cet épisode, nous revenons sur cette enquête en abordant principalement les thèmes suivants : - LeS plastiqueS, c'est quoi ? - Comment produit-ton le plastique ? - Qui sont les principaux producteurs de plastique ? - Pourquoi le plastique est-il toxique pour la santé humaine ? - Pourquoi le plastique est-il un danger pour le vivant en général ? - Quel est le lien entre plastique, climat, biodiversité, et résilience alimentaire ? - Où va le plastique que l'on produit ? - Peut-on et doit-on recycler le plastique ? - Les instances de régulation font-elles leur travail ? - Peut-on avoir confiance dans les industriels, les labels, et les étiquettes ? - Le cas du BPA - Quels leviers pour lutter collectivement ? - Changer les choses dans la vie personnelle : par où commencer ? 👉 S'abonner à la Newsletter Ozé 👉 Me suivre sur LinkedIn 👉 Voir le replay des conférences Ozé 👉 M'écrire : jp@oze-podcast.fr Music Credit : Sublime by Grapes - 2013 - Licensed under CC BY-NC 3.0. Ozé Le Podcast by  Jean-Philippe Decka is licensed under CC BY-NC-SA 4.0.",fr,2023-07-20
Ozé. Comprendre. S'inspirer. S'engager,L'illusion de la finance verte avec Julien Lefournier #REDIFF,,,1,1h 23min,https://open.spotify.com/episode/21W518v58PNxMDDuXQfAKK,https://i.scdn.co/image/ab6765630000f68d6cb9789a7753d90dab1ada74,https://i.scdn.co/image/ab67656300005f1f6cb9789a7753d90dab1ada74,"Julien Lefournier est co-auteur du livre L'illusion de la finance verte avec Alain Grandjean. Dans cet épisode, nous abordons ensemble les thèmes suivants : - Qu'est-ce que la finance verte ? - Quelle différence avec la finance durable ou éthique ? - Pourquoi la finance verte est une illusion ? - Faut-il essayer de verdir la finance ? - Comment financer la transformation de notre appareil productif ? - Peut-on changer le système financier de l'intérieur ? - Comment agir en tant que citoyen ? 👉 S'abonner à la Newsletter Ozé 👉 Me suivre sur LinkedIn 👉 Voir le replay des conférences Ozé 👉 M'écrire : jp@oze-podcast.fr Music Credit : Sublime by Grapes - 2013 - Licensed under CC BY-NC 3.0. Ozé Le Podcast by  Jean-Philippe Decka is licensed under CC BY-NC-SA 4.0.",fr,2023-07-06
Ozé. Comprendre. S'inspirer. S'engager,De la Silicon Valley à l'éco-aventure avec Benjamin de Molliens - BIFURQUEUR #REDIFF,,,1,1h 57min,https://open.spotify.com/episode/5G5eZw9k4Guztkt7y0JSuA,https://i.scdn.co/image/ab6765630000f68d360c0f3b863d635b0349cc73,https://i.scdn.co/image/ab67656300005f1f360c0f3b863d635b0349cc73,"Benjamin a la fibre aventurière depuis tout petit. Après des études d'ingénieur  durant lesquelles il part voyager à pied au Moyen Orient et en Afrique,  il s'engage dans la vie active et participe à plusieurs expériences  entrepreneuriales en France et aux États-Unis. De plus en plus sensible  aux problèmes écologiques et vivant une vraie dissonance entre son  activité professionnelle  et ses aspirations,  il décide de créer  lui-même son métier : éco-aventurier. Il nous explique en quoi cela consiste et comment il en est arrivé à  se lancer. On parle aussi des sujets, parfois épineux, de la sécurité  financière, de la pression sociale et du renoncement à une voie qui  semblait toute tracée. 👉 Pour ne rien manquer de l'activité Ozé, vous pouvez me suivre sur LinkedIn 👉 Pour voir le replay des conférences Ozé, c'est en accès libre sur le site : https://oze-podcast.fr/conferences 👉 Pour m'écrire un petit mot gentil, me proposer un épisode ou poser une question : jp@oze-podcast.fr Music Credit : Sublime by Grapes - 2013 - Licensed under CC BY-NC 3.0. Ozé Le Podcast by  Jean-Philippe Decka is licensed under CC BY-NC-SA 4.0.",fr,2023-06-14
Ozé. Comprendre. S'inspirer. S'engager,L'énergie dans l'histoire des sociétés humaines - Victor Court,Victor Court,énergie,0,1h 28min,https://open.spotify.com/episode/2Z9PssBRD9QxpYuibRARIK,https://i.scdn.co/image/ab6765630000f68d7fdcff10a8d6a5add08cc8b2,https://i.scdn.co/image/ab67656300005f1f7fdcff10a8d6a5add08cc8b2,"Lorsque l'on commence à s'intéresser aux enjeux écologiques, on prend rapidement conscience de l'importance de l'énergie comme facteur déterminant de l'impact des sociétés humaines sur son environnement. Le concept d'esclave énergétique vulgarisé par Jean-Marc Jancovici dans ses interventions en est l'une des illustrations marquantes. Qu'est-ce qu'un regard approfondi sur l'histoire des sociétés humaines par le prisme de l'énergie peut nous apprendre de plus ? Spoiler alerte : cela change radicalement notre manière d'approcher les questions de transition écologique !  De la révolution cognitive au développement de l'agriculture et jusqu'à la naissance de la religion du progrès, je vous propose de découvrir le rôle fondamental de l'énergie et ses implications sur nos futurs possibles en plongeant dans ce nouvel épisode de Ozé le podcast avec l'enseignant-chercheur Victor Court, auteur du livre L'emballement du monde.  Bonne écoute ! 👉 S'abonner à la ⁠Newsletter Ozé⁠ 👉 Me suivre sur ⁠LinkedIn⁠ 👉 Voir le ⁠replay des conférences Ozé⁠ 👉 M'écrire : jp@oze-podcast.fr Music Credit : Sublime by Grapes - 2013 - Licensed under ⁠CC BY-NC 3.0⁠. Ozé Le Podcast by  Jean-Philippe Decka is licensed under ⁠CC BY-NC-SA 4.0⁠.",fr,2023-06-01
Ozé. Comprendre. S'inspirer. S'engager,De la grande distribution à l'éducation citoyenne avec Annaïk Le Net - BIFURQUEUSE #REDIFF,,,1,1h 49min,https://open.spotify.com/episode/4cnI8tBlQJmyyWqtgyqV6b,https://i.scdn.co/image/ab6765630000f68da2cb5b8b192c50bbb4796187,https://i.scdn.co/image/ab67656300005f1fa2cb5b8b192c50bbb4796187,"À la fin de ses études en école de commerce, Annaik est partie avec son conjoint en Asie pour faire un VIE et avoir une expérience professionnelle à l'étranger. Elle a travaillé dans la grande distribution à Taiwan avant de commencer à se poser des questions sur l'alimentation et l'agriculture. Ces questions l'ont amené à s'intéresser à la permaculture et autres modèles agricoles. Avec son conjoint, ils décident de prendre une année pour faire du woofing en Nouvelle-Zélande. Puis, fort de cette expérience, ils partent en Inde pour s'engager dans le monde associatif et prennent part pendant un an à l'organisation de l'un des plus grands festivals de permaculture. Ils décident ensuite de rentrer en France et de s'installer à Bordeaux. Annaik est engagée depuis au sein de l'association e-graine pour sensibiliser les citoyens aux possibilités de faire autrement grâce à des actions sur le terrain au plus près de la population. Dans cette interview, elle nous raconte ce cheminement, les questions qu'elle s'est posée et comment elle a essayé d'y répondre. On parle aussi du regard des proches et des amis sur son parcours. Enfin, Annaik nous partage son retour d'expérience sur ce changement de voie et son engagement en nous proposant ses conseils pour passer à l'action. Bonne écoute ! 👉   Si vous aimez l'émission, n’hésitez pas à vous abonner, à mettre   5     étoiles et à le partager autour de vous. C’est une aide très       précieuse pour faire connaître le podcast et me permettre de        continuer  l’aventure. Ozé a vocation à être une source    d’inspiration     pour ceux    qui  se questionnent sur leur activité   et  rêvent d’un    autre  monde. À    bientôt  pour un nouvel épisode  et   d’ici là : osez ! 👉 Pour découvrir E-graine Music Credit : Sublime by Grapes - 2013 - Licensed under CC BY-NC 3.0. Ozé Le Podcast by  Jean-Philippe Decka is licensed under CC BY-NC-SA 4.0.",fr,2023-05-17
Ozé. Comprendre. S'inspirer. S'engager,Bifurqueurs des années 70 : quelles leçons pour aujourd'hui ? - Jean-Paul Malrieu,Jean-Paul Malrieu,témoignage,0,1h 6min,https://open.spotify.com/episode/0h4sckDTmSFpJOpmckKYSE,https://i.scdn.co/image/ab6765630000f68d61f5d197c70b4eddc9bea37b,https://i.scdn.co/image/ab67656300005f1f61f5d197c70b4eddc9bea37b,"Pendant l'été 2022, on a assisté à une succession de discours de jeunes diplômés des grandes écoles appelant ouvertement leurs camarades à bifurquer ou à déserter. Les médias se sont emparés du sujet et ont multiplié les articles, les interviews, et les portraits de ces bifurqueuses et bifurqueurs. Ayant écrit un livre sur le sujet (Le courage de renoncer, Payot, 2022), j'ai été invité dans plusieurs émissions pour en discuter. À cette occasion, certains journalistes ont fait le parallèle entre ce mouvement et celui des années 70 dont la figure emblématique est celle du Larzac. Et force fut de constater que je n'y connaissais rien. J'avais une image très caricaturale de communautés ""pseudo hippies"" sans comprendre réellement d'où venait ce mouvement, quelle fut son ampleur, et dans quel contexte il apparut. Pour moi, il n'y avait pas de parallèles entre ces deux mouvements sociaux que presque 50 ans séparent. Et pourtant, je me trompais lourdement. Jean-Paul Malrieu a 83 ans. Chercheur au CNRS, il est l'un de ces bifurqueurs des années 70 qui a décidé de quitter Paris pour s'installer en communauté à la suite de mai 68. Il a écrit en février 2023, dans la revue Terrestres, une très belle lettre aux bifurqueurs d'aujourd'hui dans laquelle il fait part de son expérience et de ce qu'il retire de ce mouvement qui s'est essoufflé dans les années 1980. Cette lettre m'a particulièrement touché et j'ai eu envie de le rencontrer. Dans cet épisode, Jean-Paul revient sur les événements de mai 68, sur son parcours personnel, et le mouvement des bifurqueurs des années 70. Tout au long de notre échange, nous essayons de dresser les similitudes et les différences entre ces deux mouvements sociaux tout en nous interrogeant sur ce que l'on peut en retirer pour celles et ceux qui souhaitent transformer notre modèle de société face à l'urgence écologique. Bonne écoute ! 👉 S'abonner à la Newsletter Ozé 👉 Me suivre sur LinkedIn 👉 Voir le replay des conférences Ozé 👉 M'écrire : jp@oze-podcast.fr Music Credit : Sublime by Grapes - 2013 - Licensed under CC BY-NC 3.0. Ozé Le Podcast by  Jean-Philippe Decka is licensed under CC BY-NC-SA 4.0.",fr,2023-05-03
Ozé. Comprendre. S'inspirer. S'engager,Du football à la Fresque du Climat avec Benoit Rolland de Ravel - BIFURQUEUR #REDIFF,,,1,1h 13min,https://open.spotify.com/episode/0Ust78CunyU3OQN4MBka8O,https://i.scdn.co/image/ab6765630000f68dbf40849e4e32cceae9e5904e,https://i.scdn.co/image/ab67656300005f1fbf40849e4e32cceae9e5904e,"Benoit a cherché sa voie pendant plus de 10 ans. Il se destinait à devenir footballeur professionnel mais a du remettre en question cette carrière : il a enchainé des études, des formations et des rencontres pour mieux se comprendre et s'ouvrir au monde. Dans cet épisode, il nous raconte son chemin et les étapes de son parcours pour à la fois se découvrir soi-même et trouver de sens en s'engageant face à l'urgence écologique. 👉 Pour ne rien manquer de l'activité Ozé, vous pouvez me suivre sur LinkedIn 👉 Pour voir le replay des conférences Ozé, c'est en accès libre sur le site : https://oze-podcast.fr/conferences 👉 Pour m'écrire un petit mot gentil, me proposer un épisode ou poser une question : jp@oze-podcast.fr Music Credit : Sublime by Grapes - 2013 - Licensed under CC BY-NC 3.0. Ozé Le Podcast by  Jean-Philippe Decka is licensed under CC BY-NC-SA 4.0.",fr,2023-04-12
Ozé. Comprendre. S'inspirer. S'engager,La bataille de la sécu : d'où viennent nos acquis sociaux ? - Nicolas Da Silva,Nicolas Da Silva,"politique,luttes",0,1h 28min,https://open.spotify.com/episode/4EsH0B40LCOxjX7AxsnFeX,https://i.scdn.co/image/ab6765630000f68dfffd10e4e708c2891e64251c,https://i.scdn.co/image/ab67656300005f1ffffd10e4e708c2891e64251c,"Nous sommes en mars 2023 et depuis de nombreuses semaines, la France vit l'un des plus importants mouvement social des 40 dernières années autour de la nouvelle réforme des retraites portée par le gouvernement d'Emmanuel Macron. Cette actualité résonne particulièrement avec les travaux de l'enseignant-chercheur Nicolas Da Silva autour de l'histoire de la protection sociale en France depuis la Révolution Française. J'ai voulu l'interroger sur deux points en particulier afin de déconstruire certaines idées reçues que l'on se fait sur l'organisation et le fonctionnement de notre système de protection sociale. En premier lieu, sur la question de la gouvernance. S'il apparaît évident à bien des personnes aujourd'hui, que la gestion de protection sociale est l’apanage de l'État social, il n'en a pas toujours été ainsi. D'autres modes d'organisation ont existé, et la création même de la sécurité sociale en 1945 s'est faite sur un autre modèle : celui de l'autogestion. En second lieu, sur la question du conflit. Notre éducation et le discours dominant dans les grands médias nous invite à penser que les acquis sociaux sont le fruit du compromis et de la discussion apaisée entre les parties prenantes. L'histoire nous enseigne autre chose. Les acquis sociaux, et en particulier ceux de la protection sociale sont majoritairement le fruit du conflit, que celui-ci soit interne à la société ou externe à travers la guerre entre les nations. Je vous invite donc à embarquer dès maintenant avec Nicolas Da Silva dans une discussion autour de La bataille de sécu pour comprendre comment s'est développée notre système de protection sociale depuis deux siècles, et nous éclairer sur l'actualité bouillonnante du moment. Bonne écoute ! 👉 S'abonner à la ⁠Newsletter Ozé⁠ 👉 Me suivre sur ⁠LinkedIn⁠ 👉 Voir le ⁠replay des conférences Ozé⁠ 👉 M'écrire : jp@oze-podcast.fr Music Credit : Sublime by Grapes - 2013 - Licensed under ⁠CC BY-NC 3.0⁠. Ozé Le Podcast by  Jean-Philippe Decka is licensed under ⁠CC BY-NC-SA 4.0⁠.",fr,2023-03-30
Ozé. Comprendre. S'inspirer. S'engager,Les start-up vont-elles sauver la planète ? - Marion Flécher,Marion Flécher,entreprise,0,2h 31min,https://open.spotify.com/episode/75Z6tPMlftM9QYu2LWoByJ,https://i.scdn.co/image/ab6765630000f68d7e630fffa5ce998a9b8ed70f,https://i.scdn.co/image/ab67656300005f1f7e630fffa5ce998a9b8ed70f,"Depuis la fin de mes études en 2010 jusqu'à aujourd'hui, toutes mes expériences professionnelles se sont déroulées dans des start-up. En France, aux États-Unis, ou en Asie ; en tant que salarié, actionnaire minoritaire, ou fondateur, je n'ai connu que cet environnement de travail très spécifique. À l'heure où le président de la république annonce vouloir faire de la France une ""start-up nation"" et où l'on voit se multiplier les projets de ""start-up à impact"" censés résoudre les problèmes sociaux et écologiques de notre société, il me semblait essentiel de revenir sur cet objet si singulier qu'est la start-up pour en dessiner les contours, en dévoiler l'histoire, en décortiquer la nature, et en déconstruire les mythes. Pour ce faire, je me suis adressé à Marion Flécher, enseignante-chercheuse en sociologie, qui a passé 4 ans à étudier le monde des start-up pour son doctorat. L'interview que vous allez écouter permet d'appréhender le fruit de ses multiples recherches en France et aux États-Unis. Accrochez-vous ! C'est un peu dense mais particulièrement riche. Bienvenue dans le monde des start-up ! Bonne écoute ! 👉 S'abonner à la Newsletter Ozé 👉 Me suivre sur LinkedIn 👉 Voir le replay des conférences Ozé 👉 M'écrire : jp@oze-podcast.fr Music Credit : Sublime by Grapes - 2013 - Licensed under CC BY-NC 3.0. Ozé Le Podcast by  Jean-Philippe Decka is licensed under CC BY-NC-SA 4.0.",fr,2023-03-16
